GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH1OE001,AH1OE002,AH1OE003,AH1OE004,AH1OE005,AH1OE006,AH1OE007,AH1OE008,AH1OE009,AH1OE010,AH1OE011,AH1OE012,AH1OE013,AH1OE014,AH1OE015,AH1OE016,AH1OE017,NAME_M,AH1OM001,AH1OM002,AH1OM003,AH1OM004,AH1OM005,AH1OM006,AH1OM007,AH1OM008,AH1OM009,AH1OM010,AH1OM011,AH1OM012,AH1OM013,AH1OM014,AH1OM015,AH1OM016,AH1OM017
"G12000100002001","2013-2017",,,"Florida","12","Alachua County","001",,,"000200","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2, Alachua County, Florida",124,17,0,22,0,13,16,0,0,0,0,19,0,0,15,22,0,"Block Group 1, Census Tract 2, Alachua County, Florida",78,27,13,34,13,23,28,13,13,13,13,34,13,13,23,32,13
"G12000100002002","2013-2017",,,"Florida","12","Alachua County","001",,,"000200","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2, Alachua County, Florida",631,171,45,107,15,18,17,0,0,18,72,114,14,19,21,0,0,"Block Group 2, Census Tract 2, Alachua County, Florida",179,126,53,94,26,28,29,13,13,34,68,97,26,32,37,13,13
"G12000100002003","2013-2017",,,"Florida","12","Alachua County","001",,,"000200","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2, Alachua County, Florida",321,35,21,54,65,17,50,0,0,0,65,14,0,0,0,0,0,"Block Group 3, Census Tract 2, Alachua County, Florida",130,34,31,86,66,27,55,13,13,13,82,23,13,13,13,13,13
"G12000100002004","2013-2017",,,"Florida","12","Alachua County","001",,,"000200","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2, Alachua County, Florida",235,36,103,0,57,0,0,18,0,0,0,0,0,21,0,0,0,"Block Group 4, Census Tract 2, Alachua County, Florida",150,36,97,13,92,13,13,30,13,13,13,13,13,34,13,13,13
"G12000100002005","2013-2017",,,"Florida","12","Alachua County","001",,,"000200","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 2, Alachua County, Florida",310,213,15,31,0,18,16,17,0,0,0,0,0,0,0,0,0,"Block Group 5, Census Tract 2, Alachua County, Florida",121,118,24,36,13,28,25,28,13,13,13,13,13,13,13,13,13
"G12000100002006","2013-2017",,,"Florida","12","Alachua County","001",,,"000200","6",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 2, Alachua County, Florida",743,354,83,0,17,193,26,14,16,0,6,0,19,0,15,0,0,"Block Group 6, Census Tract 2, Alachua County, Florida",221,165,89,13,26,158,29,22,27,13,10,13,31,13,25,13,13
"G12000100003011","2013-2017",,,"Florida","12","Alachua County","001",,,"000301","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3.01, Alachua County, Florida",939,165,110,26,50,35,117,49,43,86,82,17,102,11,30,9,7,"Block Group 1, Census Tract 3.01, Alachua County, Florida",139,87,89,28,54,28,83,41,46,50,56,19,74,18,34,16,12
"G12000100003012","2013-2017",,,"Florida","12","Alachua County","001",,,"000301","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3.01, Alachua County, Florida",812,261,68,16,57,31,23,80,64,11,33,110,26,0,0,23,9,"Block Group 2, Census Tract 3.01, Alachua County, Florida",156,125,32,19,38,29,21,72,56,17,31,65,26,13,13,23,15
"G12000100003021","2013-2017",,,"Florida","12","Alachua County","001",,,"000302","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3.02, Alachua County, Florida",171,8,27,5,11,11,12,20,27,8,6,11,15,10,0,0,0,"Block Group 1, Census Tract 3.02, Alachua County, Florida",62,15,40,9,17,20,13,21,43,14,10,16,21,16,13,13,13
"G12000100003022","2013-2017",,,"Florida","12","Alachua County","001",,,"000302","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3.02, Alachua County, Florida",434,83,67,52,106,70,7,0,0,0,21,0,0,11,0,8,9,"Block Group 2, Census Tract 3.02, Alachua County, Florida",99,64,55,42,49,68,11,13,13,13,23,13,13,16,13,14,14
"G12000100003023","2013-2017",,,"Florida","12","Alachua County","001",,,"000302","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 3.02, Alachua County, Florida",496,33,16,8,91,8,33,20,0,31,28,97,64,29,23,15,0,"Block Group 3, Census Tract 3.02, Alachua County, Florida",93,40,21,11,52,13,25,18,13,24,28,54,37,31,35,20,13
"G12000100004001","2013-2017",,,"Florida","12","Alachua County","001",,,"000400","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4, Alachua County, Florida",463,143,74,97,58,31,19,0,0,24,0,0,0,0,0,0,17,"Block Group 1, Census Tract 4, Alachua County, Florida",109,110,79,100,80,39,27,13,13,30,13,13,13,13,13,13,30
"G12000100004002","2013-2017",,,"Florida","12","Alachua County","001",,,"000400","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4, Alachua County, Florida",559,11,49,0,65,67,12,0,30,51,46,86,25,95,0,0,22,"Block Group 2, Census Tract 4, Alachua County, Florida",134,18,77,13,54,60,22,13,35,58,43,92,40,99,13,13,37
"G12000100004003","2013-2017",,,"Florida","12","Alachua County","001",,,"000400","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4, Alachua County, Florida",455,89,48,0,48,14,29,29,0,13,48,29,54,54,0,0,0,"Block Group 3, Census Tract 4, Alachua County, Florida",101,65,51,13,40,26,42,32,13,24,49,36,43,49,13,13,13
"G12000100004004","2013-2017",,,"Florida","12","Alachua County","001",,,"000400","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4, Alachua County, Florida",650,20,58,114,12,43,30,107,87,22,26,69,62,0,0,0,0,"Block Group 4, Census Tract 4, Alachua County, Florida",153,32,48,87,19,44,37,68,79,29,33,89,49,13,13,13,13
"G12000100005001","2013-2017",,,"Florida","12","Alachua County","001",,,"000500","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 5, Alachua County, Florida",924,291,97,47,13,65,12,30,56,12,113,0,26,51,0,45,66,"Block Group 1, Census Tract 5, Alachua County, Florida",159,139,74,73,21,57,19,26,47,19,95,13,41,51,13,43,78
"G12000100005002","2013-2017",,,"Florida","12","Alachua County","001",,,"000500","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 5, Alachua County, Florida",312,29,0,48,34,15,42,0,25,12,32,12,63,0,0,0,0,"Block Group 2, Census Tract 5, Alachua County, Florida",92,42,13,49,42,23,32,13,41,19,39,19,73,13,13,13,13
"G12000100005003","2013-2017",,,"Florida","12","Alachua County","001",,,"000500","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 5, Alachua County, Florida",470,20,0,0,37,29,61,22,13,0,39,29,82,60,23,0,55,"Block Group 3, Census Tract 5, Alachua County, Florida",98,32,13,13,61,34,46,35,20,13,49,32,56,73,37,13,59
"G12000100005004","2013-2017",,,"Florida","12","Alachua County","001",,,"000500","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 5, Alachua County, Florida",592,230,19,0,85,24,39,0,11,0,27,25,116,0,16,0,0,"Block Group 4, Census Tract 5, Alachua County, Florida",157,139,31,13,43,30,37,13,18,13,42,31,117,13,25,13,13
"G12000100005005","2013-2017",,,"Florida","12","Alachua County","001",,,"000500","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 5, Alachua County, Florida",351,0,0,19,42,13,32,0,0,12,48,24,43,49,0,13,56,"Block Group 5, Census Tract 5, Alachua County, Florida",88,13,13,33,27,19,31,13,13,20,44,29,52,47,13,22,58
"G12000100006001","2013-2017",,,"Florida","12","Alachua County","001",,,"000600","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 6, Alachua County, Florida",451,94,23,13,52,8,0,19,12,37,49,17,100,0,10,17,0,"Block Group 1, Census Tract 6, Alachua County, Florida",94,58,24,20,41,13,13,20,18,28,42,17,52,13,16,26,13
"G12000100006002","2013-2017",,,"Florida","12","Alachua County","001",,,"000600","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 6, Alachua County, Florida",254,64,18,20,9,40,57,0,38,0,0,8,0,0,0,0,0,"Block Group 2, Census Tract 6, Alachua County, Florida",82,50,25,23,14,39,53,13,33,13,13,14,13,13,13,13,13
"G12000100006003","2013-2017",,,"Florida","12","Alachua County","001",,,"000600","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 6, Alachua County, Florida",828,153,43,78,127,55,77,45,45,20,118,54,13,0,0,0,0,"Block Group 3, Census Tract 6, Alachua County, Florida",119,75,32,54,60,46,46,36,39,21,70,46,17,13,13,13,13
"G12000100007001","2013-2017",,,"Florida","12","Alachua County","001",,,"000700","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 7, Alachua County, Florida",223,42,13,0,47,25,33,0,0,0,14,0,49,0,0,0,0,"Block Group 1, Census Tract 7, Alachua County, Florida",95,46,21,13,66,28,38,13,13,13,21,13,66,13,13,13,13
"G12000100007002","2013-2017",,,"Florida","12","Alachua County","001",,,"000700","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 7, Alachua County, Florida",459,72,0,39,91,0,27,13,32,0,50,47,34,0,0,41,13,"Block Group 2, Census Tract 7, Alachua County, Florida",150,59,13,36,99,13,30,23,48,13,65,47,41,13,13,64,20
"G12000100007003","2013-2017",,,"Florida","12","Alachua County","001",,,"000700","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 7, Alachua County, Florida",907,326,42,38,43,15,55,102,0,0,148,43,65,0,0,30,0,"Block Group 3, Census Tract 7, Alachua County, Florida",181,145,48,36,37,25,44,97,13,13,117,41,62,13,13,28,13
"G12000100007004","2013-2017",,,"Florida","12","Alachua County","001",,,"000700","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 7, Alachua County, Florida",771,73,45,45,151,24,22,52,40,0,141,130,18,17,13,0,0,"Block Group 4, Census Tract 7, Alachua County, Florida",172,62,44,41,101,29,27,64,62,13,94,98,29,31,22,13,13
"G12000100008061","2013-2017",,,"Florida","12","Alachua County","001",,,"000806","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 8.06, Alachua County, Florida",980,285,121,97,68,44,73,0,27,23,61,22,86,48,7,0,18,"Block Group 1, Census Tract 8.06, Alachua County, Florida",127,98,55,50,40,34,59,13,33,36,47,21,61,40,12,13,21
"G12000100008081","2013-2017",,,"Florida","12","Alachua County","001",,,"000808","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 8.08, Alachua County, Florida",331,25,50,7,22,9,48,0,8,14,52,45,15,0,10,16,10,"Block Group 1, Census Tract 8.08, Alachua County, Florida",82,19,45,12,24,14,45,13,12,17,50,41,17,13,17,16,17
"G12000100008082","2013-2017",,,"Florida","12","Alachua County","001",,,"000808","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 8.08, Alachua County, Florida",332,101,28,48,37,18,6,11,14,0,0,20,16,29,0,4,0,"Block Group 2, Census Tract 8.08, Alachua County, Florida",96,79,35,34,28,20,11,16,20,13,13,21,20,35,13,10,13
"G12000100008083","2013-2017",,,"Florida","12","Alachua County","001",,,"000808","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 8.08, Alachua County, Florida",780,178,31,54,25,36,74,65,65,41,61,46,54,35,0,8,7,"Block Group 3, Census Tract 8.08, Alachua County, Florida",114,76,26,45,23,27,45,49,59,45,42,44,45,28,13,13,11
"G12000100008091","2013-2017",,,"Florida","12","Alachua County","001",,,"000809","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 8.09, Alachua County, Florida",604,66,62,35,63,40,24,47,32,16,56,85,34,28,4,10,2,"Block Group 1, Census Tract 8.09, Alachua County, Florida",88,25,37,22,37,23,16,20,23,14,39,43,22,22,6,11,4
"G12000100009011","2013-2017",,,"Florida","12","Alachua County","001",,,"000901","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9.01, Alachua County, Florida",423,121,32,49,84,52,20,16,28,13,4,0,0,4,0,0,0,"Block Group 1, Census Tract 9.01, Alachua County, Florida",56,41,29,25,32,26,16,13,21,18,6,19,19,7,19,19,19
"G12000100009021","2013-2017",,,"Florida","12","Alachua County","001",,,"000902","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9.02, Alachua County, Florida",25,4,2,0,9,0,6,0,0,0,0,4,0,0,0,0,0,"Block Group 1, Census Tract 9.02, Alachua County, Florida",15,7,4,13,8,13,9,13,13,13,13,6,13,13,13,13,13
"G12000100009022","2013-2017",,,"Florida","12","Alachua County","001",,,"000902","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9.02, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 9.02, Alachua County, Florida",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"G12000100009023","2013-2017",,,"Florida","12","Alachua County","001",,,"000902","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9.02, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 3, Census Tract 9.02, Alachua County, Florida",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"G12000100009024","2013-2017",,,"Florida","12","Alachua County","001",,,"000902","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 9.02, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 4, Census Tract 9.02, Alachua County, Florida",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"G12000100010001","2013-2017",,,"Florida","12","Alachua County","001",,,"001000","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 10, Alachua County, Florida",328,0,39,0,49,0,0,0,0,0,18,68,33,46,0,0,75,"Block Group 1, Census Tract 10, Alachua County, Florida",105,13,45,13,78,13,13,13,13,13,30,59,39,43,13,13,82
"G12000100010002","2013-2017",,,"Florida","12","Alachua County","001",,,"001000","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 10, Alachua County, Florida",497,52,77,33,0,0,16,15,54,0,17,40,56,34,44,34,25,"Block Group 2, Census Tract 10, Alachua County, Florida",123,48,77,36,13,13,29,25,64,13,26,41,72,32,44,37,30
"G12000100010003","2013-2017",,,"Florida","12","Alachua County","001",,,"001000","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 10, Alachua County, Florida",754,337,41,41,73,19,33,49,19,0,44,61,37,0,0,0,0,"Block Group 3, Census Tract 10, Alachua County, Florida",173,123,46,47,100,31,37,78,31,13,66,55,41,13,13,13,13
"G12000100010004","2013-2017",,,"Florida","12","Alachua County","001",,,"001000","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 10, Alachua County, Florida",492,125,0,16,92,0,21,0,60,24,0,12,66,19,8,25,24,"Block Group 4, Census Tract 10, Alachua County, Florida",136,111,13,23,80,13,32,13,70,29,13,19,59,29,15,31,30
"G12000100010005","2013-2017",,,"Florida","12","Alachua County","001",,,"001000","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 10, Alachua County, Florida",259,14,0,0,0,0,0,0,0,0,15,42,63,64,8,0,53,"Block Group 5, Census Tract 10, Alachua County, Florida",80,23,13,13,13,13,13,13,13,13,22,39,78,43,13,13,37
"G12000100011001","2013-2017",,,"Florida","12","Alachua County","001",,,"001100","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 11, Alachua County, Florida",592,11,31,0,29,0,0,14,0,0,44,49,209,98,66,28,13,"Block Group 1, Census Tract 11, Alachua County, Florida",116,18,36,13,34,13,13,23,13,13,37,34,141,58,43,32,22
"G12000100011002","2013-2017",,,"Florida","12","Alachua County","001",,,"001100","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 11, Alachua County, Florida",821,31,29,24,23,72,66,13,44,20,105,48,66,62,107,64,47,"Block Group 2, Census Tract 11, Alachua County, Florida",129,37,32,27,27,51,71,19,40,24,90,32,59,53,57,74,28
"G12000100011003","2013-2017",,,"Florida","12","Alachua County","001",,,"001100","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 11, Alachua County, Florida",777,13,83,62,28,34,45,32,45,42,37,101,27,115,31,33,49,"Block Group 3, Census Tract 11, Alachua County, Florida",133,20,64,76,31,32,50,38,57,36,32,86,31,70,35,31,46
"G12000100011004","2013-2017",,,"Florida","12","Alachua County","001",,,"001100","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 11, Alachua County, Florida",654,0,0,13,12,19,0,85,0,17,53,55,138,60,130,50,22,"Block Group 4, Census Tract 11, Alachua County, Florida",124,13,13,21,20,28,13,89,13,27,43,39,90,51,59,47,26
"G12000100012011","2013-2017",,,"Florida","12","Alachua County","001",,,"001201","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 12.01, Alachua County, Florida",1323,43,20,32,97,49,18,47,57,65,140,131,175,178,64,135,72,"Block Group 1, Census Tract 12.01, Alachua County, Florida",78,59,22,28,55,43,20,40,36,42,71,71,71,78,46,77,50
"G12000100012021","2013-2017",,,"Florida","12","Alachua County","001",,,"001202","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 12.02, Alachua County, Florida",777,31,0,49,56,37,14,54,87,64,36,129,87,51,51,0,31,"Block Group 1, Census Tract 12.02, Alachua County, Florida",132,37,13,46,51,42,24,48,59,70,42,87,55,52,49,13,26
"G12000100012022","2013-2017",,,"Florida","12","Alachua County","001",,,"001202","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 12.02, Alachua County, Florida",1196,188,27,56,172,39,28,30,59,20,196,21,76,150,47,0,87,"Block Group 2, Census Tract 12.02, Alachua County, Florida",188,183,43,67,135,43,46,52,55,31,121,35,66,103,53,13,69
"G12000100012023","2013-2017",,,"Florida","12","Alachua County","001",,,"001202","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 12.02, Alachua County, Florida",271,21,0,30,0,29,0,32,29,24,9,59,17,0,21,0,0,"Block Group 3, Census Tract 12.02, Alachua County, Florida",111,32,13,52,13,47,13,37,44,40,19,68,26,13,34,13,13
"G12000100012024","2013-2017",,,"Florida","12","Alachua County","001",,,"001202","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 12.02, Alachua County, Florida",279,0,0,0,19,41,25,0,26,0,19,78,53,0,18,0,0,"Block Group 4, Census Tract 12.02, Alachua County, Florida",98,13,13,13,34,36,30,13,32,13,31,67,46,13,32,13,13
"G12000100012025","2013-2017",,,"Florida","12","Alachua County","001",,,"001202","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 12.02, Alachua County, Florida",664,0,0,0,0,14,18,17,62,17,18,140,186,87,51,40,14,"Block Group 5, Census Tract 12.02, Alachua County, Florida",142,13,13,13,13,24,28,28,76,27,29,76,118,67,41,44,21
"G12000100012031","2013-2017",,,"Florida","12","Alachua County","001",,,"001203","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 12.03, Alachua County, Florida",727,64,71,16,119,38,37,21,0,18,80,62,106,28,16,44,7,"Block Group 1, Census Tract 12.03, Alachua County, Florida",134,53,64,18,70,33,34,20,13,22,45,47,58,24,19,33,12
"G12000100012032","2013-2017",,,"Florida","12","Alachua County","001",,,"001203","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 12.03, Alachua County, Florida",812,86,61,42,17,44,46,104,30,7,41,120,128,57,17,12,0,"Block Group 2, Census Tract 12.03, Alachua County, Florida",165,65,54,33,14,39,44,85,27,13,43,92,84,45,19,19,13
"G12000100014001","2013-2017",,,"Florida","12","Alachua County","001",,,"001400","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 14, Alachua County, Florida",382,23,9,13,14,36,23,19,7,32,28,56,61,38,14,9,0,"Block Group 1, Census Tract 14, Alachua County, Florida",61,17,10,16,18,27,25,18,11,30,23,32,30,28,18,13,13
"G12000100014002","2013-2017",,,"Florida","12","Alachua County","001",,,"001400","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 14, Alachua County, Florida",418,33,5,51,39,23,63,16,5,6,44,68,24,12,12,6,11,"Block Group 2, Census Tract 14, Alachua County, Florida",72,25,9,34,27,23,48,14,7,12,32,39,18,12,18,11,17
"G12000100014003","2013-2017",,,"Florida","12","Alachua County","001",,,"001400","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 14, Alachua County, Florida",128,19,9,18,18,0,0,0,9,8,6,13,20,8,0,0,0,"Block Group 3, Census Tract 14, Alachua County, Florida",38,25,14,17,18,13,13,13,15,13,9,13,20,11,13,13,13
"G12000100015141","2013-2017",,,"Florida","12","Alachua County","001",,,"001514","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 15.14, Alachua County, Florida",499,117,40,48,45,21,68,13,30,43,28,13,33,0,0,0,0,"Block Group 1, Census Tract 15.14, Alachua County, Florida",75,41,29,29,36,22,26,10,23,30,23,13,28,13,13,13,13
"G12000100015142","2013-2017",,,"Florida","12","Alachua County","001",,,"001514","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 15.14, Alachua County, Florida",267,124,0,10,12,24,5,6,6,4,18,5,0,9,3,0,41,"Block Group 2, Census Tract 15.14, Alachua County, Florida",49,37,13,10,12,22,7,9,5,6,14,7,13,10,5,13,26
"G12000100015151","2013-2017",,,"Florida","12","Alachua County","001",,,"001515","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 15.15, Alachua County, Florida",709,197,115,178,30,16,13,64,29,11,27,0,0,0,0,29,0,"Block Group 1, Census Tract 15.15, Alachua County, Florida",152,115,90,115,36,26,21,55,32,19,22,13,13,13,13,46,13
"G12000100015152","2013-2017",,,"Florida","12","Alachua County","001",,,"001515","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 15.15, Alachua County, Florida",318,102,57,14,11,24,0,2,45,10,14,39,0,0,0,0,0,"Block Group 2, Census Tract 15.15, Alachua County, Florida",91,56,57,21,19,26,13,6,39,17,25,63,13,13,13,13,13
"G12000100015153","2013-2017",,,"Florida","12","Alachua County","001",,,"001515","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 15.15, Alachua County, Florida",1274,400,129,122,166,13,38,38,24,45,148,72,54,0,25,0,0,"Block Group 3, Census Tract 15.15, Alachua County, Florida",180,149,83,65,107,22,36,35,29,38,90,68,66,13,29,13,13
"G12000100015161","2013-2017",,,"Florida","12","Alachua County","001",,,"001516","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 15.16, Alachua County, Florida",714,290,67,53,16,52,28,27,36,10,19,47,62,0,0,7,0,"Block Group 1, Census Tract 15.16, Alachua County, Florida",100,94,44,35,19,42,36,25,31,16,30,40,48,13,13,12,13
"G12000100015162","2013-2017",,,"Florida","12","Alachua County","001",,,"001516","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 15.16, Alachua County, Florida",313,103,19,39,0,0,0,30,16,35,46,9,16,0,0,0,0,"Block Group 2, Census Tract 15.16, Alachua County, Florida",62,56,28,35,13,13,13,27,21,33,41,14,17,13,13,13,13
"G12000100015171","2013-2017",,,"Florida","12","Alachua County","001",,,"001517","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 15.17, Alachua County, Florida",1273,353,23,126,77,270,9,28,67,20,115,88,71,0,0,0,26,"Block Group 1, Census Tract 15.17, Alachua County, Florida",196,132,27,90,65,138,14,31,90,34,84,69,69,13,13,13,40
"G12000100015172","2013-2017",,,"Florida","12","Alachua County","001",,,"001517","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 15.17, Alachua County, Florida",815,211,123,35,13,80,89,0,39,65,67,40,0,53,0,0,0,"Block Group 2, Census Tract 15.17, Alachua County, Florida",166,122,84,41,22,61,82,13,42,62,81,46,13,60,13,13,13
"G12000100015191","2013-2017",,,"Florida","12","Alachua County","001",,,"001519","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 15.19, Alachua County, Florida",836,280,40,79,79,59,42,19,22,61,50,58,33,5,5,4,0,"Block Group 1, Census Tract 15.19, Alachua County, Florida",72,74,31,43,44,42,26,16,17,40,28,33,24,8,8,6,13
"G12000100015201","2013-2017",,,"Florida","12","Alachua County","001",,,"001520","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 15.20, Alachua County, Florida",1029,456,37,100,79,64,64,49,22,24,71,18,45,0,0,0,0,"Block Group 1, Census Tract 15.20, Alachua County, Florida",106,105,38,51,49,37,45,41,25,21,49,28,34,13,13,13,13
"G12000100015211","2013-2017",,,"Florida","12","Alachua County","001",,,"001521","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 15.21, Alachua County, Florida",1062,180,126,62,100,125,31,74,29,65,113,0,126,0,31,0,0,"Block Group 1, Census Tract 15.21, Alachua County, Florida",170,116,106,62,77,100,35,85,25,71,82,13,99,13,35,13,13
"G12000100015212","2013-2017",,,"Florida","12","Alachua County","001",,,"001521","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 15.21, Alachua County, Florida",686,264,64,65,54,24,50,100,50,0,15,0,0,0,0,0,0,"Block Group 2, Census Tract 15.21, Alachua County, Florida",145,118,46,59,44,27,61,75,61,13,24,13,13,13,13,13,13
"G12000100015213","2013-2017",,,"Florida","12","Alachua County","001",,,"001521","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 15.21, Alachua County, Florida",391,48,39,0,95,46,60,0,6,25,0,44,14,14,0,0,0,"Block Group 3, Census Tract 15.21, Alachua County, Florida",130,60,35,13,90,43,66,13,10,28,13,57,23,22,13,13,13
"G12000100016031","2013-2017",,,"Florida","12","Alachua County","001",,,"001603","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 16.03, Alachua County, Florida",508,61,27,36,54,47,49,3,13,15,27,58,51,49,13,4,1,"Block Group 1, Census Tract 16.03, Alachua County, Florida",91,35,36,22,32,37,37,6,12,11,21,35,29,30,15,7,3
