GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH1OE001,AH1OE002,AH1OE003,AH1OE004,AH1OE005,AH1OE006,AH1OE007,AH1OE008,AH1OE009,AH1OE010,AH1OE011,AH1OE012,AH1OE013,AH1OE014,AH1OE015,AH1OE016,AH1OE017,NAME_M,AH1OM001,AH1OM002,AH1OM003,AH1OM004,AH1OM005,AH1OM006,AH1OM007,AH1OM008,AH1OM009,AH1OM010,AH1OM011,AH1OM012,AH1OM013,AH1OM014,AH1OM015,AH1OM016,AH1OM017
"G12005700102141","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010214","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 102.14, Hillsborough County, Florida",107,0,8,30,8,4,7,9,5,0,16,4,0,8,4,4,0,"Block Group 1, Census Tract 102.14, Hillsborough County, Florida",35,13,9,30,8,6,8,10,7,13,22,6,13,9,6,6,13
"G12005700103031","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010303","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 103.03, Hillsborough County, Florida",542,112,64,29,66,56,20,8,0,28,30,59,34,25,0,0,11,"Block Group 1, Census Tract 103.03, Hillsborough County, Florida",100,76,48,34,53,74,22,12,13,28,34,48,27,24,13,13,17
"G12005700103032","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010303","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 103.03, Hillsborough County, Florida",489,41,54,64,47,49,21,37,63,18,40,8,34,0,13,0,0,"Block Group 2, Census Tract 103.03, Hillsborough County, Florida",92,43,47,51,33,54,34,40,52,19,29,13,24,13,17,13,13
"G12005700103033","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010303","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 103.03, Hillsborough County, Florida",260,10,0,19,39,23,0,9,0,37,20,53,21,24,0,0,5,"Block Group 3, Census Tract 103.03, Hillsborough County, Florida",85,16,13,15,42,37,13,13,13,46,17,49,35,39,13,13,9
"G12005700103041","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010304","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 103.04, Hillsborough County, Florida",641,0,9,9,18,10,9,46,18,20,122,88,69,71,34,41,77,"Block Group 1, Census Tract 103.04, Hillsborough County, Florida",94,13,15,15,20,16,15,49,20,23,78,44,42,43,42,27,58
"G12005700103042","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010304","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 103.04, Hillsborough County, Florida",271,30,0,21,27,8,29,9,9,0,0,70,19,19,11,0,19,"Block Group 2, Census Tract 103.04, Hillsborough County, Florida",77,36,13,24,42,12,25,14,13,13,13,46,15,21,16,13,20
"G12005700103043","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010304","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 103.04, Hillsborough County, Florida",514,53,0,62,52,25,27,9,38,9,37,35,63,18,9,27,50,"Block Group 3, Census Tract 103.04, Hillsborough County, Florida",93,49,13,48,59,40,43,15,49,15,28,29,38,20,14,26,23
"G12005700103051","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010305","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 103.05, Hillsborough County, Florida",373,21,36,0,9,10,47,45,42,25,43,18,11,16,0,28,22,"Block Group 1, Census Tract 103.05, Hillsborough County, Florida",74,23,43,13,17,15,38,53,35,24,44,21,16,18,13,29,29
"G12005700103052","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010305","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 103.05, Hillsborough County, Florida",653,20,33,25,54,35,15,17,10,52,67,49,103,52,0,49,72,"Block Group 2, Census Tract 103.05, Hillsborough County, Florida",79,24,28,24,40,34,17,21,16,56,54,35,57,41,13,35,35
"G12005700103053","2013-2017",,,"Florida","12","Hillsborough County","057",,,"010305","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 103.05, Hillsborough County, Florida",211,67,24,0,0,48,0,18,0,21,0,8,0,15,0,0,10,"Block Group 3, Census Tract 103.05, Hillsborough County, Florida",82,54,23,13,13,53,13,21,13,23,13,13,13,17,13,13,18
